title,link,summary,published,tags,category,credit,source
"Nutrie jsou škodná a šíří nemoci. Navíc si lidé myslí, že krmí mláďátka, ale mohou to být potkani",https://www.lidovky.cz/domov/nutrie-jsou-skodna-a-siri-nemoci-navic-lide-si-mysli-ze-krmi-mladatka-ale-mohou-to-byt-potkani.A210616_095605_ln_domov_lijk#utm_source=rss&utm_medium=feed&utm_campaign=ln_domov&utm_content=main,"Na českých náplavkách se objevily nové gangy. Macatější z jeho členů mají klidně k deseti kilům, tělo o velikosti batolete a ocas zvící až půlmetru. Rodina hlodavců zpravidla nepatří k těm, na něž by člověk pohlížel mazlivě, ale nutriím se podařilo tabu prolomit.","time.struct_time(tm_year=2021, tm_mon=6, tm_mday=16, tm_hour=10, tm_min=19, tm_sec=0, tm_wday=2, tm_yday=167, tm_isdst=0)",['Zprávy - Domov'],Zprávy z domova,MAFRA,lidovky.cz
Prezident Zeman u soudu hájil privatizaci Mostecké uhelné. Výslech narušil výtržník,https://www.lidovky.cz/domov/prezident-zeman-u-soudu-hajil-privatizaci-mostecke-uhelne-neslo-o-strategickou-firmu-tvrdi.A210616_121224_ln_domov_lijk#utm_source=rss&utm_medium=feed&utm_campaign=ln_domov&utm_content=main,"Prezident Miloš Zeman ve středu při svědecké výpovědi u soudu hájil prodej státního podílu v Mostecké uhelné společnosti (MUS), který v roce 1999 schválila jeho vláda. MUS podle něj nebyla strategickou společností a vláda byla ráda, že se menšinového podílu zbaví. Obžaloba tvrdí, že manažeři MUS stát při prodeji podvedli, protože Zemanův kabinet nevěděl, že skutečným nabyvatelem akcií firmy budou právě oni. Výslech prezidenta Zemana narušil muž, který vtrhl do jednací síně a dožadoval se u něj zastání kvůli odebrání dětí. Vyvedla ho stráž.","time.struct_time(tm_year=2021, tm_mon=6, tm_mday=16, tm_hour=10, tm_min=14, tm_sec=0, tm_wday=2, tm_yday=167, tm_isdst=0)",['Zprávy - Domov'],Zprávy z domova,MAFRA,lidovky.cz
"Informujte do konce června ředitele škol o plánu pro příští rok, vyzval Plagu opoziční Anticovid tým",https://www.lidovky.cz/domov/informujte-do-konce-cervna-reditele-skol-o-planu-pro-pristi-rok-vyzval-plagu-opozicni-anticovid-tym.A210616_105050_ln_domov_lijk#utm_source=rss&utm_medium=feed&utm_campaign=ln_domov&utm_content=main,"Opoziční Anticovid tým vyzval ministerstvo školství, aby nejpozději do 30. června ředitele škol informovalo o plánu pro příští školní rok. Resort by měl připravit několik variant dalšího postupu vzhledem k možné koronavirové situaci, řekl na středeční tiskové konferenci ve Sněmovně poslanec KDU-ČSL Marek Výborný. Vnést jasno by mělo také ministerstvo zdravotnictví do testování na letních táborech, uvedl místopředseda ODS Martin Kupka.","time.struct_time(tm_year=2021, tm_mon=6, tm_mday=16, tm_hour=10, tm_min=4, tm_sec=0, tm_wday=2, tm_yday=167, tm_isdst=0)",['Zprávy - Domov'],Zprávy z domova,MAFRA,lidovky.cz
Jak budou letos učitelé hodnotit žáky? Většina známek z distanční výuky není příliš vypovídající,https://www.lidovky.cz/domov/jak-budou-letos-ucitele-hodnotit-zaky-vetsina-znamek-z-distancni-vyuky-neni-prilis-vypovidajici.A210615_110937_ln_domov_ape#utm_source=rss&utm_medium=feed&utm_campaign=ln_domov&utm_content=main,"Až na pár posledních týdnů se velká část dětí v tomto pololetí učila od Vánoc z domova. Učitelé tak nyní znovu řeší, co jim napsat na vysvědčení. Mají své žáky hodnotit za to, jestli zvládnou napsat bez chyby diktát na vyjmenovaná slova, nebo za snahu a vytrvalost, i když v diktátu se chyba sem tam objeví? Jak si udělat pravdivý obrázek o tom, co všechno zvládly, a jak zařídit, aby klasifikace byla spravedlivá?","time.struct_time(tm_year=2021, tm_mon=6, tm_mday=16, tm_hour=10, tm_min=0, tm_sec=0, tm_wday=2, tm_yday=167, tm_isdst=0)",['Zprávy - Domov'],Zprávy z domova,MAFRA,lidovky.cz
"‚Dvě dávky vakcíny by měly stačit.‘ Prymula popisuje nástroje, jak bojovat s nakažlivou mutací delta",https://www.lidovky.cz/domov/davky-by-se-mely-opet-priblizit-nejen-kvuli-boji-s-mutacemi-mysli-si-prymula.A210615_210303_ln_domov_ceh#utm_source=rss&utm_medium=feed&utm_campaign=ln_domov&utm_content=main,Podle epidemiologa Romana Prymuly lze s mutací delta bojovat očkováním nebo se vrátit k restrikcím obyvatelstva.,"time.struct_time(tm_year=2021, tm_mon=6, tm_mday=16, tm_hour=9, tm_min=13, tm_sec=0, tm_wday=2, tm_yday=167, tm_isdst=0)",['Zprávy - Domov'],Zprávy z domova,MAFRA,lidovky.cz
V Česku se dosud potvrdily desítky případů indické a jihoafrické varianty koronaviru,https://www.lidovky.cz/domov/v-cesku-se-dosud-potvrdilo-27-pripadu-indicke-a-59-jihoafricke-varianty-koronaviru.A210616_110041_ln_domov_lijk#utm_source=rss&utm_medium=feed&utm_campaign=ln_domov&utm_content=main,"Státní zdravotní ústav (SZÚ) potvrdil dosud v Česku 27 případů indické, 59 případů jihoafrické varianty koronaviru a sedm nových případů brazilské varianty. Informoval o tom ve středu Radiožurnál. Od začátku roku bylo takzvaně sekvenováno 4200 vzorků pozitivních na covid-19, tedy byla přečtena genetická informace viru. Z nich 800 přibylo nově za červen.","time.struct_time(tm_year=2021, tm_mon=6, tm_mday=16, tm_hour=9, tm_min=6, tm_sec=0, tm_wday=2, tm_yday=167, tm_isdst=0)",['Zprávy - Domov'],Zprávy z domova,MAFRA,lidovky.cz
"Úterní nárůst počtu lidí s covidem byl o dvě pětiny nižší než před týdnem, přibylo 213 případů",https://www.lidovky.cz/domov/uterni-narust-poctu-lidi-s-covidem-byl-o-dve-petiny-nizsi-nez-pred-tydnem-pribylo-213-pripadu.A210616_092354_ln_domov_lijk#utm_source=rss&utm_medium=feed&utm_campaign=ln_domov&utm_content=main,"V úterý přibylo v Česku 213 případů nemoci covid-19, což je zhruba o dvě pětiny méně než před týdnem. Počet pacientů s covidem-19 po pondělním nárůstu zase klesl, a dostal se tak znovu na nejnižší úroveň od konce loňského srpna. Vyplývá to z údajů na webu ministerstva zdravotnictví.","time.struct_time(tm_year=2021, tm_mon=6, tm_mday=16, tm_hour=8, tm_min=7, tm_sec=0, tm_wday=2, tm_yday=167, tm_isdst=0)",['Zprávy - Domov'],Zprávy z domova,MAFRA,lidovky.cz
"U Poličky na Svitavsku se zřítilo rogalo. Nehodu nepřežili dva lidé, oznámila policie",https://www.lidovky.cz/domov/u-policky-na-svitavsku-se-zritilo-rogalo-nehodu-neprezili-dva-lide-oznamila-policie.A210616_072746_ln_domov_lijk#utm_source=rss&utm_medium=feed&utm_campaign=ln_domov&utm_content=main,Dva muži zahynuli v úterý večer po pádu motorového rogala u Poličky na Svitavsku. Policisté to oznámili na twitteru. Okolnosti nehody vyšetřují. Případem se budou dále zabývat také odborníci na vyšetřování leteckých havárií.,"time.struct_time(tm_year=2021, tm_mon=6, tm_mday=16, tm_hour=5, tm_min=29, tm_sec=0, tm_wday=2, tm_yday=167, tm_isdst=0)",['Zprávy - Domov'],Zprávy z domova,Policie ČR,lidovky.cz
"Skryté nebezpečí dravé mutace delta pro Česko. Maskuje se jako nachlazení, jedna dávka vakcíny na ni nestačí",https://www.lidovky.cz/domov/prvni-davka-nestaci-delta-ji-obejde-nakazlivejsi-mutace-muze-zbrzdit-rozvolnovani.A210615_200705_ln_domov_ceh#utm_source=rss&utm_medium=feed&utm_campaign=ln_domov&utm_content=main,Očkování je v současnosti v boji s covidem ta nejsilnější zbraň. Jenže s příchodem nových mutací jí trochu vlhne prach. Momentálně se do dalších a dalších zemí dobývá virová mutace objevená v Indii označovaná delta.,"time.struct_time(tm_year=2021, tm_mon=6, tm_mday=15, tm_hour=18, tm_min=52, tm_sec=0, tm_wday=1, tm_yday=166, tm_isdst=0)",['Zprávy - Domov'],Zprávy z domova,Michal Turek MAFRA,lidovky.cz
"Opakování testů na táborech nebude nutné, pokud budou mít všichni PCR test. Nereálné, zní z druhé strany",https://www.lidovky.cz/domov/opakovani-testu-na-taborech-nebude-nutne-pokud-budou-mit-vsichni-pcr-test-nerealne-zni-z-druhe-stran.A210615_173050_ln_domov_ceh#utm_source=rss&utm_medium=feed&utm_campaign=ln_domov&utm_content=main,"Opakované testování na covid-19 na letních táborech nebude povinné za podmínky, že se před odjezdem na akci prokážou negativním PCR testem všichni účastníci. V případě, že někteří budou mít jen antigenní test, bude se muset testování všech na táboře opakovat každých sedm dní. Vyplývá to z opatření ministerstva zdravotnictví, které v pondělí schválila vláda.","time.struct_time(tm_year=2021, tm_mon=6, tm_mday=15, tm_hour=15, tm_min=34, tm_sec=0, tm_wday=1, tm_yday=166, tm_isdst=0)",['Zprávy - Domov'],Zprávy z domova,ČTK,lidovky.cz
