,title,link,summary,published,tags,category,credit,source,lemmatized_texts,audio
60,"Velkokapacitní očkovaní centrum v Brně zavře, na výstavišti dostanou přednost veletrhy",https://www.lidovky.cz/domov/vystaviste-ockovani-centrum-brno-fakultni-nemocnice-covid.A210809_112122_ln_domov_kov#utm_source=rss&utm_medium=feed&utm_campaign=ln_domov&utm_content=main,"Velkokapacitní centrum na brněnském výstavišti, které se otevřelo jako první v Česku, na konci srpna přestane fungovat. Očkování proti covidu se přesune do Fakultní nemocnice Brno, kde budou připravení podat denně dávku až 1500 lidem.",2021-08-09 09:21:22,['Události - Domov'],Zprávy z domova | Lidovky.cz,MAFRA,denikn.cz,"velkokapacitní očkovaný centrum v Brno zavřít , na výstaviště dostat přednost veletrh velkokapacitní centrum na brněnský výstaviště , který se otevřít jako první v česko , na konec srpen přestat fungovat . očkování proti covid se přesunout do fakultní nemocnice Brno , kde být připravený podat denně dávka až 1500 člověk .",test
61,Babišův návrh na výběr šéfa BIS projedná vláda. Premiér chce rozhodnutí nechat až na kabinetu po volbách,https://www.lidovky.cz/domov/schuzka-babis-hamacek-o-vedeni-bis.A210809_100947_ln_domov_kov#utm_source=rss&utm_medium=feed&utm_campaign=ln_domov&utm_content=main,"Návrh premiéra Andreje Babiše, že by nového šéfa BIS měla jmenovat až vláda po volbách, posoudí od 15 hodin mimořádně vláda, která bude jednat online. „Je to jeho kompetence,“ komentoval Babišův postoj po jednání v Hrzánském paláci vicepremiér, ministr vnitra a šéf ČSSD Jan Hamáček. V půli srpna končí mandát Michalu Koudelkovi.",2021-08-09 08:18:00,['Události - Domov'],Zprávy z domova | Lidovky.cz,MAFRA,denikn.cz,"Babišův návrh na výběr šéf BIS projednat vláda . premiér chtít rozhodnutí nechat až na kabinet po volba návrh premiér Andrej Babiš , že být nový šéf BIS mít jmenovat až vláda po volba , posoudit od 15 hodina mimořádně vláda , který být jednat online . „ být ten jeho kompetence , “ komentovat Babišův postoj po jednání v Hrzánský palác vicepremiér , ministr vnitro a šéf ČSSD Jan Hamáček . v půle srpen končit mandát Michal Koudelka .",test
62,"Reprodukční číslo překročilo klíčovou hranici, zvýšila se i sedmidenní incidence. V neděli přibylo 103 nakažených",https://www.lidovky.cz/domov/koronavirus-pocet-nakazenych-pripady-hospitalizace-ockovani.A210809_090519_ln_domov_kov#utm_source=rss&utm_medium=feed&utm_campaign=ln_domov&utm_content=main,"Testy v neděli odhalily 103 nových případů koronaviru, o 26 více než před týdnem. Reprodukční číslo, jež je nad hodnotou jedna, dále vzrostlo, zvýšila se také sedmidenní incidence. V nemocnicích je 48 nakažených covidem. Vyplývá to z údajů ministerstva zdravotnictví.",2021-08-09 07:05:00,['Události - Domov'],Zprávy z domova | Lidovky.cz,Shutterstock,denikn.cz,"reprodukční číslo překročit klíčový hranice , zvýšit se i sedmidenní incidence . v neděle přibýt 103 nakažený Testa v neděle odhalit 103 nový případ koronavirus , o 26 hodně než před týden . reprodukční číslo , jenž být nad hodnota jeden , dále vzrůst , zvýšit se také sedmidenní incidence . v nemocnice být 48 nakažený covidem . vyplývat ten z údaj ministerstvo zdravotnictví .",test
63,"Česko v týdnu čeká tropický den, studená fronta udeří znenadála. Místy sprchne nebo zabouří",https://www.lidovky.cz/domov/predpoved-pocasi-cesky-hydrometeorologicky-ustav-leto-tropy.A210809_073342_ln_domov_kov#utm_source=rss&utm_medium=feed&utm_campaign=ln_domov&utm_content=main,"Po víkendu, kdy se Českem prohnaly silné bouřky, nás čeká týden s letními teplotami a jen ojedinělým výskytem srážek. Teploty se nejvýše vyšplhají v pátek, kdy překonají hranici 30 stupňů Celsia, Česko tedy čeká tropický den. Vyplývá to z předpovědi Českého hydrometeorologického ústavu.",2021-08-09 05:33:00,['Události - Domov'],Zprávy z domova | Lidovky.cz,Profimedia.cz,denikn.cz,"Česko v týden čekat tropický den , studený fronta udeřit znenadála . místy sprchnout nebo zabouřit po víkend , kdy se Česko prohnat silný bouřka , já čekat týden s letní teplota a jen ojedinělý výskyt srážka . teplota se vysoko vyšplhat v pátek , kdy překonat hranice 30 stupeň Celsius , Česko tedy čekat tropický den . vyplývat ten z předpověď český hydrometeorologický ústav .",test
64,"Influenceři musí viditelně přiznat úpravu fotek, norský nápad zaujal české poslance",https://www.lidovky.cz/domov/influenceri-v-norsku-musi-viditelne-priznat-upravu-fotek-oznaceni-retuse-nevadi-ani-ceskym-poslancum.A210809_002118_ln_domov_tmr#utm_source=rss&utm_medium=feed&utm_campaign=ln_domov&utm_content=main,"Nový norský zákon nutí influencery přiznat, že upravují své fotografie. Podobnému návrhu se nebrání ani někteří čeští poslanci. S bojem proti poruchám příjmu potravy by zákon mohl pomoci i dle expertů.",2021-08-09 03:00:00,['Události - Domov'],Zprávy z domova | Lidovky.cz,Instagram @bermudaisbae,denikn.cz,"influenceři muset viditelně přiznat úprava fotka , norský nápad zaujmout český poslanec nový norský zákon nutit influencer přiznat , že upravovat svůj fotografie . podobný návrh se bránit ani některý český poslanec . s boj proti porucha příjem potrava být zákon moci pomoci i dle expert .",test
65,"Mazlíček jako covidový strašák. Největší riziko dnešní pandemie je nákaza zvířete, a pak člověka, říká vakcinolog",https://www.lidovky.cz/domov/injekci-proti-covidu-i-zviratum-vakcinolog-petras-varuje-pred-moznymi-promenami-viru.A210808_215734_ln_domov_tmr#utm_source=rss&utm_medium=feed&utm_campaign=ln_domov&utm_content=main,"Původně zvířecí koronavirus se postupně přizpůsobuje člověku a přestává být vůči lidem tak agresivní. „Největší riziko, jež by v rámci stávající pandemie teď mohlo nastat, je, kdyby nynější koronavirus přešel zpátky na zvíře, znovu tam cirkuloval a vrátil se zase na člověka. Obdržel by totiž nové znaky, které by mohly překonat stávající ochranu či imunitu,“ říká vakcinolog Marek Petráš, přednosta Ústavu epidemiologie a biostatistiky 3. lékařské fakulty Univerzity Karlovy.",2021-08-09 03:00:00,['Události - Domov'],Zprávy z domova | Lidovky.cz,Getty Images,denikn.cz,"mazlíček jako covidový strašák . velký riziko dnešní pandemie být nákaza zvíře , a pak člověk , říkat vakcinolog původně zvířecí koronavirus se postupně přizpůsobovat člověk a přestávat být vůči člověk tak agresivní . „ velký riziko , jenž být v rámec stávající pandemie teď moci nastat , být , kdyby nynější koronavirus přejít zpátky na zvíře , znovu tam cirkulovat a vrátit se zase na člověk . obdržet být totiž nový znak , který být moci překonat stávající ochrana či imunita , “ říkat vakcinolog Marek Petráš , přednosta ústav epidemiologie a biostatistika 3 . lékařský fakulta univerzita Karlův .",test
66,"O vedení BIS by měla rozhodnout až příští vláda, řekl Babiš. Služba podle něj nefunguje na základě jednoho člověka",https://www.lidovky.cz/domov/babis-reditel-bis-nova-vlada-rozhodnout.A210808_225630_ln_domov_kov#utm_source=rss&utm_medium=feed&utm_campaign=ln_domov&utm_content=main,"Premiér Andrej Babiš si myslí, že o šéfovi Bezpečnostní informační služby by měla rozhodnout nová vláda vzešlá z říjnových voleb. Řekl to v neděli v České televizi. Současnému řediteli BIS Michalu Koudelkovi končí pětileté funkční období v půli srpna.",2021-08-08 20:56:30,['Události - Domov'],Zprávy z domova | Lidovky.cz,MAFRA,denikn.cz,"o vedení BIS být mít rozhodnout až příští vláda , říci Babiš . služba podle on fungovat na základ jeden člověk premiér Andrej Babiš se myslit , že o šéf bezpečnostní informační služba být mít rozhodnout nový vláda vzešlý z říjnový volba . říci ten v neděle v český televize . současný ředitel BIS Michal Koudelka končit pětiletý funkční období v půle srpen .",test
67,"O uznávání protilátek a třetí dávce očkování se rozhodne do konce srpna, uvedl Babiš",https://www.lidovky.cz/domov/o-uznavani-protilatek-a-treti-davce-ockovani-se-rozhodne-do-konce-srpna-uvedl-babis.A210808_192603_ln_domov_tmr#utm_source=rss&utm_medium=feed&utm_campaign=ln_domov&utm_content=main,"Do konce srpna se podle premiéra Andreje Babiše (ANO) rozhodne o možném uznávání protilátek na covid-19 jako dokladu bezinfekčnosti i o případném podávání třetí dávky očkování starším lidem. Babiš v neděli ve videu zveřejněném na sociálních sítích uvedl, že k tomu má být zpracována klinická studie v Moravskoslezském a v Ústeckém kraji a má se konat odborný kulatý stůl, který má moderovat.",2021-08-08 17:26:00,['Události - Domov'],Zprávy z domova | Lidovky.cz,Adolf Horsinka MAFRA,denikn.cz,"o uznávání protilátka a třetí dávka očkování se rozhodnout do konec srpen , uvést Babiš do konec srpen se podle premiér Andrej Babiš ( ano ) rozhodnout o možný uznávání protilátka na covid - 19 jako doklad bezinfekčnost i o případný podávání třetí dávka očkování starý člověk . Babiš v neděle v video zveřejněný na sociální síť uvést , že k ten mít být zpracovat klinický studie v moravskoslezský a v ústecký kraj a mít se konat odborný kulatý stůl , který mít moderovat .",test
68,"Koho do čela kontrarozvědky? Babišovi bych doporučil Koudelku, radí člen komise k BIS z hnutí ANO",https://www.lidovky.cz/domov/koho-do-cela-rozvedky-babisovi-bych-doporucil-koudelku-radi-clen-komise-k-bis.A210808_144933_ln_domov_tmr#utm_source=rss&utm_medium=feed&utm_campaign=ln_domov&utm_content=main,"Lavírování, srabáctví, ústupek Hradu. Taková slova v pátek padala v reakci na to, že premiér Andrej Babiš (ANO) zvažuje variantu, že mandát současného ředitele Bezpečnostní informační služby (BIS) Michala Koudelky nechá doběhnout – vyprší 15. srpna – a nikoho místo něj do čela tajné služby nejmenuje.",2021-08-08 13:25:00,['Události - Domov'],Zprávy z domova | Lidovky.cz,MF DNES,denikn.cz,"kdo do čelo kontrarozvědka ? Babiš být doporučit Koudelka , radit člen komise k BIS z hnutí ano lavírování , srabáctví , ústupek hrad . takový slovo v pátek padat v reakce na ten , že premiér Andrej Babiš ( ANO ) zvažovat varianta , že mandát současný ředitel bezpečnostní informační služba ( BIS ) Michal Koudelka nechat doběhnout – vypršet 15 . srpen – a nikdo místo on do čelo tajný služba jmenovat .",test
69,"Babiše kříže na náměstí mrzely, řekla Schillerová. Otázka vkusu, který premiér postrádá, opáčil Fiala",https://www.lidovky.cz/domov/diskuze-partie-terezie-tomankove-cnn-prima-news-schillerova-fiala.A210808_123830_ln_domov_kov#utm_source=rss&utm_medium=feed&utm_campaign=ln_domov&utm_content=main,"Ministryně financí a vicepremiérka Alena Schillerová prohlásila, že premiéra Andreje Babiše křížky na náměstí zamrzely. Stalo se tak na sobotním předvolebním mítinku v Průhonicích, kdy na dlažbu spolek Milion chvilek nastříkal bílé kříže jako symbol obětí epidemie covidu. Předseda ODS Petr Fiala by po nich nešlapal, řekl v diskuzi.",2021-08-08 10:38:30,['Události - Domov'],Zprávy z domova | Lidovky.cz,MAFRA,denikn.cz,"Babiš kříž na náměstí mrzet , říci Schillerová . otázka vkus , který premiér postrádat , opáčit Fiala ministryně finance a vicepremiérka Alena Schillerová prohlásit , že premiéra Andrej Babiš křížek na náměstí zamrzet . stát se tak na sobotní předvolební mítink v Průhonice , kdy na dlažba spolek milión chvilka nastříkat bílý kříž jako symbol oběť epidemie covid . předseda ODS Petr Fiala být po on šlapat , říci v diskuse .",test
